mutcd_code,description,sign_text,category
R1-1,stop,STOP,regulatory_rw
R1-2,yield,YIELD,regulatory_rw
R1-2a,oncomming,TO ONCOMMING TRAFFIC,regulatory_bw
R1-3,4-way,4-WAY,regulatory_rw
R1-4,all way,ALL WAY,regulatory_rw
R1-5L,yield to pedestrian,YIELD HERE TO ,regulatory_rw
R1-5aL,yield to pedestrian,YIELD HERE TO PEDESTRIANS,regulatory_rw
R1-5R,yield to pedestrian,YIELD HERE TO,regulatory_rw
R1-5aR,yield to pedestrian,YIELD HERE TO PEDESTRIANS,regulatory_rw
R1-6,state law yield,STATE LAW YEILD TO WITHIN CROSSWALK,regulatory_rw
R1-6a,state law stop,STATE LAW STOP FOR WITHIN CROSSWALK,regulatory_rw
R2-1,speed limit,SPEED LIMIT [[speed]],regulatory_bw
R2-2,truck limit,TRUCK [[speed]],regulatory_bw
R2-3,night limit [[speed]],NIGHT,regulatory_bw
R2-4,minimum speed,MINIMUM SPEED [[speed]],regulatory_bw
R2-4a,maxmin speed limit,SPEED LIMIT [[speed]] MINIMUM [[speed]],regulatory_bw
R2-6,fines,HIGHER FINES,regulatory_bw
R3-1,no right, ,regulatory_bw
R3-2,no left, ,regulatory_bw
R3-3,no turns,NO TURNS,regulatory_bw
R3-4,no uturns, ,regulatory_bw
R3-5L,left only,ONLY,regulatory_bw
R3-5R,right only,ONLY,regulatory_bw
R3-5a,through only,ONLY,regulatory_bw
R3-5b,left lane,LEFT LANE,regulatory_bw
R3-5c,HOV lane,HOV 2+,regulatory_bw
R3-5d,taxi lane,TAXI LANE,regulatory_bw
R3-5e,center lane,CENTER LANE,regulatory_bw
R3-5f,right lane,RIGHT LANE,regulatory_bw
R3-5g,bus lane,BUS LANE,regulatory_bw
R3-6L,left or through, ,regulatory_bw
R3-6R,right or through, ,regulatory_bw
R3-7L,left must turn,LEFT LANE MUST TURN LEFT,regulatory_bw
R3-7R,right must turn,RIGHT LANE MUST TURN RIGHT,reguatory_bw
R3-8,left turn instructions,ONLY,regulatory_bw
R3-8a,all lane instructions,ONLY ONLY,regulatory_bw
R3-8b,all lane instructions restrictive,ONLY ONLY ONLY,regulatory_bw
R3-9a,turn left only,ONLY,regulatory_bw
R3-9b,center lane turn left,CENTER LANE ONLY,regulatory_bw
R3-9d,reversible 1, ,regulatory_bw
R3-9e,reversible 2, ,regulatory_bw
R3-9f,restrict center lane,CENTER LANE DO NOT USE,regulatory_bw
R3-9g,end reverse,END REVERSE LANE [[distance or address]],regulatory_bw
R3-9h,begin reverse,BEGIN REVERSE LANE [[distance or address]],regulatory_bw
R3-9i,reverse ends,ONLY END REVERSE LANE,regulatory_bw
R3-10,hov 1,HOV 2+ ONLY 2 OR MORE PERSONS PER VEHICLE,regulatory_bw
R3-10a,bus ahead,BUS LANE AHEAD,regulatory_bw
R3-10b,low emission,LOW EMISSION VEHICLES ALLOWED,regulatory_bw
